                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.1729,                0.67909,                0.92364,                0.83224,                0.80572,                0.85802,                  0.858,                 0.0895,                0.35447,                0.39784,              0.0033299,              0.0033299,              0.0033299
                      2,                0.15885,                 0.4098,                0.88904,                0.84743,                0.88362,                 0.9033,                0.90042,                0.10477,                0.29661,                0.37433,              0.0065313,              0.0065313,              0.0065313
                      3,                0.19124,                0.44141,                 0.8972,                0.75646,                0.81947,                0.81848,                0.79575,                 0.1724,                0.40427,                0.44846,              0.0096007,              0.0096007,              0.0096007
                      4,                0.18007,                0.48832,                0.89279,                0.63872,                0.68892,                0.65552,                0.62662,                  0.256,                0.73476,                0.51001,               0.009406,               0.009406,               0.009406
                      5,                0.14332,                0.42474,                0.87894,                0.81754,                0.82666,                0.84847,                0.84721,                0.13638,                 0.3703,                0.43077,               0.009208,               0.009208,               0.009208
                      6,                0.12643,                0.38434,                0.87742,                0.82161,                0.85446,                0.86074,                0.85685,                0.17285,                0.33834,                0.45427,                0.00901,                0.00901,                0.00901
                      7,                0.11317,                0.34637,                0.87594,                0.85348,                0.87127,                 0.9108,                0.90792,                0.12747,                0.31673,                0.42449,               0.008812,               0.008812,               0.008812
                      8,                0.10217,                 0.3223,                0.86667,                0.91816,                0.85056,                0.93239,                 0.9208,                0.09833,                0.34587,                0.39743,               0.008614,               0.008614,               0.008614
                      9,                0.09627,                 0.3213,                0.86348,                0.91784,                0.89093,                0.94787,                0.94455,                0.10273,                0.23657,                 0.3991,               0.008416,               0.008416,               0.008416
                     10,                0.08747,                0.26988,                0.86264,                0.94254,                0.92034,                0.97322,                0.97167,                0.08476,                0.21422,                0.39431,               0.008218,               0.008218,               0.008218
                     11,                 0.0837,                0.26037,                0.86122,                0.92974,                0.88066,                0.92788,                0.92627,                0.11452,                0.27161,                0.40734,                0.00802,                0.00802,                0.00802
                     12,                0.08074,                0.25165,                0.86367,                0.92641,                0.93346,                0.97233,                0.96059,                0.14058,                0.24388,                0.43589,               0.007822,               0.007822,               0.007822
                     13,                0.07716,                0.24292,                0.86269,                0.95635,                0.93317,                0.95741,                0.95633,                 0.0954,                0.20062,                0.39063,               0.007624,               0.007624,               0.007624
                     14,                0.07091,                0.22953,                0.86688,                0.85855,                0.88191,                0.89546,                0.89354,                 0.0941,                0.30467,                 0.3904,               0.007426,               0.007426,               0.007426
                     15,                0.06839,                0.22913,                0.86222,                  0.964,                0.93831,                0.97066,                0.94171,                0.12176,                0.21441,                0.41296,               0.007228,               0.007228,               0.007228
                     16,                0.06681,                0.19638,                 0.8657,                0.98132,                0.98487,                0.99352,                0.99352,                0.15187,                0.22707,                0.46732,                0.00703,                0.00703,                0.00703
                     17,                0.06268,                0.20966,                 0.8612,                0.98582,                0.98591,                0.99376,                0.99376,                 0.0976,                0.12749,                0.39637,               0.006832,               0.006832,               0.006832
                     18,                0.06215,                 0.2027,                0.86174,                0.98761,                0.99162,                  0.994,                  0.994,                0.12607,                0.19978,                0.43671,               0.006634,               0.006634,               0.006634
                     19,                 0.0596,                0.19361,                0.86081,                0.97946,                0.98589,                0.99313,                0.99313,                0.12761,                0.20119,                0.44744,               0.006436,               0.006436,               0.006436
                     20,                0.05829,                0.17087,                0.86261,                0.98116,                0.98514,                0.99375,                0.99375,                0.08193,                0.13306,                 0.3809,               0.006238,               0.006238,               0.006238
                     21,                0.05655,                0.17683,                0.86167,                0.98497,                0.98811,                0.99395,                0.99395,                0.09607,                0.18708,                0.39568,                0.00604,                0.00604,                0.00604
                     22,                0.05443,                0.16766,                0.86032,                 0.9899,                 0.9885,                0.99361,                0.99361,                0.10616,                0.14993,                0.41231,               0.005842,               0.005842,               0.005842
                     23,                0.05163,                0.15686,                0.85818,                  0.992,                0.98942,                0.99449,                0.99448,                0.11211,                0.15055,                0.41028,               0.005644,               0.005644,               0.005644
                     24,                0.05204,                0.16918,                0.86104,                0.99368,                0.99371,                0.99489,                0.99486,                0.09568,                0.15334,                0.39509,               0.005446,               0.005446,               0.005446
                     25,                0.04921,                0.14858,                0.86061,                 0.9937,                0.98889,                0.99467,                0.99467,                0.07179,                 0.1112,                0.37616,               0.005248,               0.005248,               0.005248
                     26,                 0.0476,                0.15027,                0.85779,                0.99074,                0.99165,                0.99391,                0.99391,                0.08672,                0.13779,                0.38776,                0.00505,                0.00505,                0.00505
                     27,                0.04667,                0.14704,                0.85643,                0.98213,                0.99578,                0.99337,                0.99337,                0.10777,                0.18088,                0.41309,               0.004852,               0.004852,               0.004852
                     28,                0.04441,                0.14067,                0.85146,                0.99387,                0.98919,                0.99466,                0.99466,                0.12401,                0.20467,                0.43374,               0.004654,               0.004654,               0.004654
                     29,                0.04596,                0.15022,                0.85767,                0.99177,                0.99357,                0.99483,                0.99483,                0.09929,                0.13194,                0.39059,               0.004456,               0.004456,               0.004456
                     30,                0.04316,                0.13391,                0.86294,                0.98956,                0.99345,                 0.9942,                 0.9942,                0.10395,                0.14461,                0.39958,               0.004258,               0.004258,               0.004258
                     31,                0.04177,                0.13659,                0.85623,                0.99686,                0.99284,                 0.9945,                 0.9945,                0.11271,                0.21141,                0.41981,                0.00406,                0.00406,                0.00406
                     32,                0.03864,                0.13673,                0.85417,                 0.9953,                0.99205,                0.99493,                0.99493,                0.11349,                0.17399,                0.41553,               0.003862,               0.003862,               0.003862
                     33,                0.03808,                 0.1218,                0.85598,                0.99254,                0.99437,                0.99484,                0.99484,                0.05499,                0.08366,                0.34911,               0.003664,               0.003664,               0.003664
                     34,                0.03699,                0.12191,                0.85561,                0.99586,                0.98932,                 0.9949,                 0.9949,                0.08714,                0.14709,                0.39625,               0.003466,               0.003466,               0.003466
                     35,                0.03579,                0.12168,                0.85609,                0.98919,                0.99694,                0.99482,                0.99482,                 0.0835,                0.13381,                 0.3821,               0.003268,               0.003268,               0.003268
                     36,                0.03443,                  0.112,                0.85728,                0.99304,                 0.9929,                0.99481,                0.99481,                 0.0387,                0.06508,                0.33346,                0.00307,                0.00307,                0.00307
                     37,                0.03337,                0.10455,                 0.8589,                0.99235,                0.99341,                0.99395,                0.99395,                0.03794,                0.06748,                 0.3328,               0.002872,               0.002872,               0.002872
                     38,                0.03368,                0.10859,                0.85748,                0.99341,                0.99281,                0.99466,                0.99466,                0.05849,                0.09801,                0.35592,               0.002674,               0.002674,               0.002674
                     39,                0.03159,                0.10505,                 0.8589,                0.99211,                0.99753,                0.99471,                0.99471,                0.07366,                0.13219,                 0.3673,               0.002476,               0.002476,               0.002476
                     40,                    inf,                0.09561,                0.85799,                0.99299,                0.99619,                0.99471,                0.99471,                0.08008,                0.14223,                0.37926,               0.002278,               0.002278,               0.002278
                     41,                0.02766,                 0.0523,                0.82207,                0.99078,                0.99685,                0.99483,                0.99483,                0.11198,                  0.201,                0.42616,                0.00208,                0.00208,                0.00208
                     42,                0.02587,                 0.0506,                 0.8283,                0.99419,                0.99186,                0.99477,                0.99477,                0.09685,                0.18463,                0.40775,               0.001882,               0.001882,               0.001882
                     43,                0.02367,                0.04926,                0.83107,                 0.9956,                0.98608,                0.99464,                0.99464,                0.10434,                0.19422,                0.41262,               0.001684,               0.001684,               0.001684
                     44,                0.02273,                0.03763,                0.82575,                0.99532,                0.99395,                0.99491,                0.99491,                0.10268,                0.18992,                 0.4128,               0.001486,               0.001486,               0.001486
                     45,                0.02118,                0.04081,                0.82338,                0.99317,                0.99521,                0.99489,                0.99489,                0.09668,                0.17435,                0.40364,               0.001288,               0.001288,               0.001288
                     46,                 0.0201,                0.03575,                 0.8282,                0.99227,                 0.9979,                0.99489,                0.99489,                0.09047,                0.15677,                0.39394,                0.00109,                0.00109,                0.00109
                     47,                0.01818,                0.03688,                0.81913,                0.99531,                0.99269,                0.99485,                0.99485,                0.06981,                0.12954,                0.36584,               0.000892,               0.000892,               0.000892
                     48,                0.01666,                0.03545,                0.82193,                0.99445,                 0.9952,                0.99485,                0.99485,                0.06654,                0.12848,                0.36147,               0.000694,               0.000694,               0.000694
                     49,                    inf,                0.02988,                0.83039,                0.99468,                0.99407,                0.99482,                0.99482,                0.06659,                0.13122,                0.36126,               0.000496,               0.000496,               0.000496
                     50,                0.01368,                0.02544,                0.82323,                0.99445,                0.99447,                0.99476,                0.99476,                0.06737,                0.13936,                0.36115,               0.000298,               0.000298,               0.000298
